Year,Model ,Review
2009,Honda,"Although arguably the first-generation Insight’s hybrid powertrain and unique styling made it ahead of its time, the rebirth of the Insight with this second-generation model is designed for much greater global appeal"
2009,Honda,"2009 Honda Accord EX-L 4  : This car is very comfortable & sporty for 4 cylinders! It has the best transmission of any car I've had for 43 years, which were about 42 cars!"
2010,Honda,"I have owed and driven Honda products for 20 years. Until I purchased this vehicle on March 27, 2010 I was a true Honda fanatic. After ending up with this piece of junk I will never do business with Honda again. Not just their automobiles, but all of their products.  The seats are extremely uncomfortable, becoming very apparent after 15 minutes or so. The worst thing is the headrest. It leans very far forward. Your head is bent down and your shoulders forced off the seat. Just try driving like that for more than 5 minutes at a time. I was forced to either remove the headrests, or park the car. The dealer and American Honda were both useless in attempting to find a way to correct this situation. (the headrest is only adjustable up and down, not in any other direction)"
2010,Honda,"Honda Accord Euro L : The seats are average, but there is very little rear legroom for tall passengers. All I can say is I'm glad this car is covered by a warranty."
2011,Honda, Honda HR-V: Continuous variable transmission failed. $5000 to replace. Ended up selling to the wreckers.
2011,Honda,"Not much has changed with the historically second-best-selling Honda, and some change is way overdue. Honda's peculiar non-planetary five-speed automatic has the smallest ratio spread in the test, contributing to its back-of-the-pack performance ratings and worst-in-class EPA economy rankings of 21/31 mpg city/highway"
2012,Honda,"Honda Ballade 150 1.5: This is the most reliable car I have ever had. It is very comfortable on long trips. It is not a pocket rocket, but cruises comfortably at 120km per hour. It has never let me down with major problems. Road holding is very good for such an old vehicle. The gearbox has to be used if you need to maintain good average speeds in hilly country. I have never had wheel alignment done on this car, and I rotate the front and back tyres every 15000 km. I get an average of 55000+ km on a set of tyres. The tyres wear off evenly even after 26 years of driving."
2012,Honda,"Ride quality is top-notch, though communication with the road is minimal. Still, such a relaxed demeanor is probably what many buyers want. Though not the quietest car in our test, this is easily the quietest Accord ever -- a huge step forward for Honda."
2013,Honda,"Honda Jazz Hybrid 1.4 : This is my second Honda, the first one being a Honda Civic LS saloon.
This is my first Hybrid with a CVT gearbox, not as good as a conventional automatic, but certainly a lot better than that awful I-Shift. My main problem with the car, is its lack of power. When I need to put my foot down to overtake on the motorway, the engine screams with high revs, but the car doesn't move very fast; I suppose that this is an inherent problem with a CVT gearbox. I had previously driven cars, both the Honda Jazz I-shift and Toyota Corolla MMT, and they were truly horrible to drive, with jerky gear changes, rolling backwards at traffic lights, and I understand quite unreliable as well. My car is made in Japan, is quite comfortable, roomy and quiet inside with very clever storage and seating options. All in all, I am very satisfied, if a little disappointed with its performance potential."
2013,Honda,"The CR-V's voluminous cargo area, quick-folding seats, flat floor, low cargo-load height, and wide, easy-to-open liftgate catapulted it to staff favorite status. It became the default support vehicle for many a producer of the numerous Motor Trend photo/video productions. The Honda got lots of attention from staffers who needed a practical machine for all the car testing, photo shooting, and television filming we tackle on a daily basis."
