review_text,sentiment
"The entire process was easy, and the availability was high quality.",positive
Standard rental process. The mobile app was acceptable.,neutral
One of the best bike rentals I’ve had. The mobile app made it even better.,positive
One of the best bike rentals I’ve had. The customer service made it even better.,positive
Not worth the money. The seat comfort was a major letdown.,negative
Worst experience ever. The pricing ruined the entire ride.,negative
"It was fine, but I wouldn’t rave about the return process.",neutral
Worst experience ever. The pricing ruined the entire ride.,negative
A decent ride but not the best customer service.,neutral
Top-notch service with great pricing.,positive
An average experience. The availability worked as expected.,neutral
Everything from the booking to the ride was flawless. Loved the rental station.,positive
"Nothing to complain about, but the support staff wasn’t great either.",neutral
"The bikes were decent, but the return process was just okay.",neutral
"Nothing went smoothly, especially the return process.",negative
Top-notch service with great return process.,positive
Worst experience ever. The return process ruined the entire ride.,negative
Extremely poor service. The rental station needs urgent improvement.,negative
"Fast, friendly, and fun. The return process was impressive!",positive
"A seamless process, and the bike condition was perfect.",positive
Standard rental process. The pricing was acceptable.,neutral
"Everything was fine, but the customer service could be improved.",neutral
Absolutely loved the availability! The experience was fantastic.,positive
Not worth the money. The return process was a major letdown.,negative
"A seamless process, and the return process was perfect.",positive
"A seamless process, and the availability was perfect.",positive
The customer service was okay. Nothing special.,neutral
Superb experience renting bikes. The bike condition was outstanding.,positive
"Frustrating process, and the rental station was not working properly.",negative
Extremely poor service. The customer service needs urgent improvement.,negative
Had a wonderful ride through Brooklyn Bridge. The bikes were excellent.,positive
An average experience. The return process worked as expected.,neutral
Long wait times and the customer service was awful.,negative
A decent ride but not the best customer service.,neutral
Standard rental process. The seat comfort was acceptable.,neutral
Too expensive for such poor quality mobile app.,negative
The pricing was a disaster. Very disappointed.,negative
"Everything was fine, but the seat comfort could be improved.",neutral
"A seamless process, and the mobile app was perfect.",positive
"The bikes were decent, but the seat comfort was just okay.",neutral
The battery life was a disaster. Very disappointed.,negative
Bikes were in terrible condition. The support staff was a nightmare.,negative
Too expensive for such poor quality mobile app.,negative
"It was fine, but I wouldn’t rave about the support staff.",neutral
Long wait times and the customer service was awful.,negative
Had a wonderful ride through the riverfront. The bikes were excellent.,positive
A typical rental experience with a decent bike condition.,neutral
