num__Temperature(°C),num__Humidity(%),num__Wind speed (m/s),num__Visibility (10m),num__Dew point temperature(°C),num__Solar Radiation (MJ/m2),num__Rainfall(mm),num__Snowfall (cm),cat__Seasons_Spring,cat__Seasons_Summer,cat__Seasons_Winter,cat__Holiday_No Holiday,cat__Functioning Day_Yes,Rented Bike Count
-1.5139572362780525,-1.042482884587357,0.4584757759647645,0.9258713477706347,-1.659604672723206,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,0.0,0.0,1.0,1.0,1.0,254
-1.5390741483279362,-0.9933699887973514,-0.8925614955119693,0.9258713477706347,-1.659604672723206,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,0.0,0.0,1.0,1.0,1.0,204
-1.580935668411076,-0.9442570930073456,-0.6995561710152931,0.9258713477706347,-1.6672618610968273,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,0.0,0.0,1.0,1.0,1.0,173
-1.597680276444332,-0.8951441972173398,-0.7960588332636312,0.9258713477706347,-1.659604672723206,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,0.0,0.0,1.0,1.0,1.0,107
-1.580935668411076,-1.0915957803773628,0.5549784382131023,0.9258713477706347,-1.73617655645942,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,0.0,0.0,1.0,1.0,1.0,78
-1.614424884477588,-1.042482884587357,-0.21704285977360252,0.9258713477706347,-1.7438337448330412,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,0.0,0.0,1.0,1.0,1.0,100
-1.6311694925108438,-1.1407086761673686,-0.4100481842702787,0.9258713477706347,-1.8050912518220124,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,0.0,0.0,1.0,1.0,1.0,181
-1.6981479246438673,-0.9933699887973514,-0.7960588332636312,0.9258713477706347,-1.7897768750747698,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,0.0,0.0,1.0,1.0,1.0,460
-1.7148925326771234,-1.042482884587357,-0.603053508766955,0.9258713477706347,-1.8280628169428768,-0.6436202182560112,-0.13179988368373619,-0.17189109256898677,0.0,0.0,1.0,1.0,1.0,930
-1.6227971884942156,-1.5336118424874146,-1.1820694822569837,0.807501690688713,-2.0271497146570328,-0.3903672573157165,-0.13179988368373619,-0.17189109256898677,0.0,0.0,1.0,1.0,1.0,490
-1.3716280679953772,-1.6809505298574319,-0.5065508465186169,0.919295255710528,-1.935263454173576,0.0931156681157554,-0.13179988368373619,-0.17189109256898677,0.0,0.0,1.0,1.0,1.0,339
-1.1204589474965387,-1.8282892172274492,-0.4100481842702787,0.8206538748089266,-1.858691570437362,0.42694911662796203,-0.13179988368373619,-0.17189109256898677,0.0,0.0,1.0,1.0,1.0,360
-0.9362682591307239,-1.7300634256474376,-0.3135455220219407,0.9258713477706347,-1.6289759192287205,0.6226445864454627,-0.13179988368373619,-0.17189109256898677,0.0,0.0,1.0,1.0,1.0,449
-0.8776621310143281,-1.631837634067426,-0.1205401975252643,0.9258713477706347,-1.5064609052507785,0.6802020775682568,-0.13179988368373619,-0.17189109256898677,0.0,0.0,1.0,1.0,1.0,451
