column,code,label
workclass,0,Federal-gov
workclass,1,Local-gov
workclass,2,Private
workclass,3,Self-emp-inc
workclass,4,Self-emp-not-inc
workclass,5,State-gov
workclass,6,Without-pay
education,0,10th
education,1,11th
education,2,12th
education,3,1st-4th
education,4,5th-6th
education,5,7th-8th
education,6,9th
education,7,Assoc-acdm
education,8,Assoc-voc
education,9,Bachelors
education,10,Doctorate
education,11,HS-grad
education,12,Masters
education,13,Preschool
education,14,Prof-school
education,15,Some-college
marital.status,0,Divorced
marital.status,1,Married-AF-spouse
marital.status,2,Married-civ-spouse
marital.status,3,Married-spouse-absent
marital.status,4,Never-married
marital.status,5,Separated
marital.status,6,Widowed
occupation,0,Adm-clerical
occupation,1,Armed-Forces
occupation,2,Craft-repair
occupation,3,Exec-managerial
occupation,4,Farming-fishing
occupation,5,Handlers-cleaners
occupation,6,Machine-op-inspct
occupation,7,Other-service
occupation,8,Priv-house-serv
occupation,9,Prof-specialty
occupation,10,Protective-serv
occupation,11,Sales
occupation,12,Tech-support
occupation,13,Transport-moving
relationship,0,Husband
relationship,1,Not-in-family
relationship,2,Other-relative
relationship,3,Own-child
relationship,4,Unmarried
relationship,5,Wife
sex,0,Female
sex,1,Male
native.country,0,Cambodia
native.country,1,Canada
native.country,2,China
native.country,3,Columbia
native.country,4,Cuba
native.country,5,Dominican-Republic
native.country,6,Ecuador
native.country,7,El-Salvador
native.country,8,England
native.country,9,France
native.country,10,Germany
native.country,11,Greece
native.country,12,Guatemala
native.country,13,Haiti
native.country,14,Holand-Netherlands
native.country,15,Honduras
native.country,16,Hong
native.country,17,Hungary
native.country,18,India
native.country,19,Iran
native.country,20,Ireland
native.country,21,Italy
native.country,22,Jamaica
native.country,23,Japan
native.country,24,Laos
native.country,25,Mexico
native.country,26,Nicaragua
native.country,27,Outlying-US(Guam-USVI-etc)
native.country,28,Peru
native.country,29,Philippines
native.country,30,Poland
native.country,31,Portugal
native.country,32,Puerto-Rico
native.country,33,Scotland
native.country,34,South
native.country,35,Taiwan
native.country,36,Thailand
native.country,37,Trinadad&Tobago
native.country,38,United-States
native.country,39,Vietnam
native.country,40,Yugoslavia
income,0,<=50K
income,1,>50K
