,count,mean,std,min,25%,50%,75%,max
acousticness,1610.0,0.2504747648757764,0.22739689234684604,8.94e-06,0.05835,0.183,0.40375000000000005,0.994
danceability,1610.0,0.46885962732919256,0.14177505242979344,0.104,0.36224999999999996,0.458,0.578,0.887
energy,1610.0,0.7923521739130435,0.17988583030268487,0.141,0.674,0.8485,0.945,0.999
instrumentalness,1610.0,0.1641697790869565,0.2762487405581576,0.0,0.00021925000000000002,0.01375,0.179,0.996
liveness,1610.0,0.4917296273291924,0.34909961159694664,0.0219,0.153,0.3795,0.89375,0.998
loudness,1610.0,-6.971614906832298,2.994002677328001,-24.408,-8.9825,-6.523,-4.60875,-1.014
speechiness,1610.0,0.06951242236024846,0.05163137058571889,0.0232,0.0365,0.0512,0.0866,0.624
tempo,1610.0,126.08203291925464,29.23348285620143,46.525,107.39075,124.4045,142.35575,216.304
valence,1610.0,0.5821654658385093,0.2312527978899839,0.0,0.40425,0.583,0.778,0.974
popularity,1610.0,20.788198757763976,12.42685937473549,0.0,13.0,20.0,27.0,80.0
duration_ms,1610.0,257736.48819875775,108333.47492032826,21000.0,190613.0,243093.0,295319.75,981866.0
track number,1610.0,8.613664596273292,6.560219653419195,1.0,4.0,7.0,11.0,47.0
