year,feature,corr_with_popularity,n
1964,acousticness,0.05333383673065486,60
1965,acousticness,0.051618401646328346,108
1966,acousticness,0.15338316046725944,63
1967,acousticness,0.12053390082329524,102
1968,acousticness,0.0313653005473516,20
1969,acousticness,0.07027718295265495,27
1970,acousticness,-0.10127315186653221,47
1971,acousticness,0.24718343006179766,63
1972,acousticness,0.1467628423238325,81
1973,acousticness,0.11495964703593249,20
1974,acousticness,0.03281334103174221,20
1976,acousticness,0.23888389590556225,16
1977,acousticness,-0.025019923374769843,36
1978,acousticness,0.2332412355914877,54
1980,acousticness,0.2577140117676003,20
1981,acousticness,-0.21737073956095568,22
1982,acousticness,-0.4559634628792817,12
1983,acousticness,-0.44361583858986753,20
1986,acousticness,-0.2926749364702688,22
1989,acousticness,-0.08401673535015762,24
1991,acousticness,0.1465959014588952,34
1994,acousticness,0.14668325051345377,15
1995,acousticness,-0.12385693363446688,28
1997,acousticness,-0.19836861143664888,26
2004,acousticness,-0.007589166782517206,46
2005,acousticness,-0.16728076448499463,16
2011,acousticness,0.028616233383616078,17
2012,acousticness,-0.222103560985123,45
2016,acousticness,0.273631197940721,108
2017,acousticness,-0.06070747073348945,82
2018,acousticness,0.12065972118128586,76
2019,acousticness,0.06703024116885628,91
2020,acousticness,0.1851116716401003,64
2021,acousticness,-0.27401976986816357,79
2022,acousticness,0.018780435562718866,46
1964,danceability,-0.06769155393178454,60
1965,danceability,0.007946884861827659,108
1966,danceability,0.35067772316113,63
1967,danceability,-0.13800922421871514,102
1968,danceability,0.27205571534989276,20
1969,danceability,-0.0464293742094123,27
1970,danceability,0.14059083882450815,47
1971,danceability,0.364442809649079,63
1972,danceability,0.1955212763954241,81
1973,danceability,-0.06779795430902964,20
1974,danceability,0.431542914392575,20
1976,danceability,-0.1638027859393724,16
1977,danceability,-0.044717869328100505,36
1978,danceability,0.31800754919811236,54
1980,danceability,0.2706213828755066,20
1981,danceability,0.3141921488211861,22
1982,danceability,0.38861464080367486,12
1983,danceability,-0.1258399766888456,20
1986,danceability,0.5216110818550438,22
1989,danceability,0.11130367512659667,24
1991,danceability,-0.02745991285084307,34
1994,danceability,-0.08304182666450413,15
1995,danceability,-0.21566640700547474,28
1997,danceability,0.32879966724305293,26
2004,danceability,-0.017937300023487732,46
2005,danceability,-0.02295118900860633,16
2011,danceability,0.8665815673896176,17
2012,danceability,0.09754801696451813,45
2016,danceability,0.2503735440857501,108
2017,danceability,-0.19288322779879946,82
2018,danceability,-0.10848069644036994,76
2019,danceability,0.4761538418115134,91
2020,danceability,0.46734678578734673,64
2021,danceability,0.24524125076742423,79
2022,danceability,-0.01158504715518951,46
1964,energy,0.06138001332935804,60
1965,energy,-0.030267624961583903,108
1966,energy,-0.28957419382412675,63
1967,energy,0.031548435971026224,102
1968,energy,0.20123418414926736,20
1969,energy,0.04766973659030944,27
1970,energy,0.13148336169551597,47
1971,energy,-0.24166675830604464,63
1972,energy,0.035712140695533835,81
1973,energy,0.14501733494075453,20
1974,energy,0.4592308593092439,20
1976,energy,0.07377895519141589,16
1977,energy,0.23968696150189112,36
1978,energy,-0.02022016205932978,54
1980,energy,0.10951958739245908,20
1981,energy,0.2462760103829397,22
1982,energy,0.7135349274201971,12
1983,energy,0.5142850341902944,20
1986,energy,0.25095004284738787,22
1989,energy,0.3069923562525359,24
1991,energy,0.42638784943839575,34
1994,energy,-0.1737588043802484,15
1995,energy,0.09774978178325705,28
1997,energy,0.08831583478447062,26
2004,energy,0.14067072227894717,46
2005,energy,-0.5596869398165571,16
2011,energy,0.04755744739894719,17
2012,energy,-0.09437603383807908,45
2016,energy,-0.24006182582744726,108
2017,energy,0.22175889203096788,82
2018,energy,0.12784628391321234,76
2019,energy,-0.32508653461027137,91
2020,energy,-0.514018772874681,64
2021,energy,-0.08786244735700605,79
2022,energy,0.2758384954447028,46
1964,speechiness,0.10395413669993733,60
1965,speechiness,-0.07368121804848957,108
1966,speechiness,-0.10577334453101432,63
1967,speechiness,-0.09257791998031543,102
1968,speechiness,0.5068390032158258,20
1969,speechiness,0.02980502112752916,27
1970,speechiness,0.035606179192430865,47
1971,speechiness,-0.35381888421843244,63
1972,speechiness,0.020840236254400474,81
1973,speechiness,0.16187510470970362,20
1974,speechiness,0.29144332784061555,20
1976,speechiness,-0.19665972612452576,16
1977,speechiness,0.10293007335479439,36
1978,speechiness,-0.05687426973942013,54
1980,speechiness,-0.037130153723273454,20
1981,speechiness,-0.15086034747042992,22
1982,speechiness,-0.6439182996652472,12
1983,speechiness,0.6486605295302255,20
1986,speechiness,-0.14748197228372156,22
1989,speechiness,-0.06117572450461773,24
1991,speechiness,0.5059986594251716,34
1994,speechiness,-0.19646576917909606,15
1995,speechiness,0.295282118122884,28
1997,speechiness,-0.11560693704786712,26
2004,speechiness,-0.14073106279193207,46
2005,speechiness,-0.32174235727808453,16
2011,speechiness,-0.3244642048792467,17
2012,speechiness,-0.12218515760966471,45
2016,speechiness,-0.3473078698616068,108
2017,speechiness,-0.07467332815408131,82
2018,speechiness,0.006359923998227374,76
2019,speechiness,-0.35349742368376896,91
2020,speechiness,-0.31305429884721553,64
2021,speechiness,-0.1592352550401746,79
2022,speechiness,0.19260938647230091,46
1964,tempo,0.09653072041716163,60
1965,tempo,0.01045813194842913,108
1966,tempo,-0.01353440195270679,63
1967,tempo,-0.104423882656612,102
1968,tempo,0.19641433220063417,20
1969,tempo,-0.23241801630453499,27
1970,tempo,-0.05142296741877879,47
1971,tempo,0.05058124776462212,63
1972,tempo,-0.0030774217932208535,81
1973,tempo,0.3968562750344441,20
1974,tempo,0.13738924806448713,20
1976,tempo,-0.3094354728004266,16
1977,tempo,-0.05704257261612647,36
1978,tempo,-0.1212387014637028,54
1980,tempo,-0.09419043117261569,20
1981,tempo,-0.06031292001429486,22
1982,tempo,0.4840606822068385,12
1983,tempo,0.1538760644693096,20
1986,tempo,-0.058831761101086795,22
1989,tempo,-0.3226433730346073,24
1991,tempo,0.12146358604674275,34
1994,tempo,-0.3029807014550844,15
1995,tempo,0.10544783068576224,28
1997,tempo,-0.2062064023033917,26
2004,tempo,0.08181298684436795,46
2005,tempo,-0.47129295924083847,16
2011,tempo,-0.5822309114274343,17
2012,tempo,0.05293213221031557,45
2016,tempo,-0.039437307374176486,108
2017,tempo,-0.11730679556207237,82
2018,tempo,0.04039422336015047,76
2019,tempo,-0.16955785731124787,91
2020,tempo,0.12258401250901681,64
2021,tempo,-0.0418370036333501,79
2022,tempo,-0.06308510672619069,46
1964,valence,0.0047754541752855545,60
1965,valence,-0.10209298034184804,108
1966,valence,0.2092189202329739,63
1967,valence,-0.11833036376683756,102
1968,valence,0.10562652965599865,20
1969,valence,-0.1882949662372067,27
1970,valence,0.09101624181437644,47
1971,valence,0.05890705226807681,63
1972,valence,0.0048130316299869,81
1973,valence,-0.32268037060563465,20
1974,valence,0.1593855685093064,20
1976,valence,-0.42871583202463215,16
1977,valence,0.07860822142448072,36
1978,valence,0.27233524103577655,54
1980,valence,0.176140063759089,20
1981,valence,0.05920677563357914,22
1982,valence,0.44572246550877614,12
1983,valence,-0.7620285685553743,20
1986,valence,0.3839294014218663,22
1989,valence,0.053276687269362,24
1991,valence,-0.03635094497127989,34
1994,valence,-0.4982679223993958,15
1995,valence,-0.20473369305954298,28
1997,valence,0.01601383435913341,26
2004,valence,0.06428772639211985,46
2005,valence,-0.7053184124116768,16
2011,valence,0.4632522688132199,17
2012,valence,0.1663958177349192,45
2016,valence,0.19138350249694094,108
2017,valence,-0.30160437445198535,82
2018,valence,0.059925568386999195,76
2019,valence,0.3380597556530008,91
2020,valence,0.25256999624011933,64
2021,valence,0.1916312616087861,79
2022,valence,-0.21634963728737616,46
